"City","Fatalities","Median.Age","Male.Population","Female.Population","Foreign.born","Average.Household.Size","White","Black or African-American","Hispanic or Latino","Asian","American Indian and Alaska Native"
"Springfield",9,34.1,81057,85741,7765,2.12,151686,10026,7100,5725,2777
"Sunnyvale",9,35.7,79480,72280,71441,2.74,71463,4210,25638,69472,1179
"Tallahassee",9,26.2,89390,100504,16720,2.38,112800,69135,13538,10035,1368
"Vancouver",9,37.2,82958,89895,21748,2.49,149863,7520,23184,10882,4541
"Visalia",9,32.6,63695,66399,20779,3.11,107322,2525,63482,11523,2113
"Corpus Christi",8,35,160488,163594,30834,2.69,292663,14978,200737,9051,2972
"East Los Angeles",8,32.6,60460,59206,49575,3.75,48980,508,116211,1053,778
"Fort Lauderdale",8,42.8,93948,84639,47582,2.38,109751,62954,28148,3791,1366
"Hartford",8,31,58042,65972,28467,2.59,46529,49939,55959,4105,2451
"Huntington Beach",8,41.6,99967,101960,35368,2.67,156071,4027,42303,29095,2843
"Indio",8,35.9,43803,43723,22538,3.08,48562,3300,58852,2866,1112
"Lakewood",8,37.7,76013,76576,14169,2.29,139669,2679,33630,7340,2597
"Lancaster",8,30.9,80668,80445,17247,3.25,110311,36007,57423,8654,2186
"Moreno Valley",8,30.7,98584,105597,54442,3.9,90391,35550,120610,11912,1843
"Raleigh",8,32.8,219184,232765,65125,2.42,275892,138242,51786,24865,3955
"Sparks",8,36.1,47780,48318,15690,2.63,78737,4226,29159,7915,2019
"Westminster",8,37.8,54866,58251,11361,2.63,100084,3228,23355,8668,1444
"Albany",7,33.3,31695,39414,861,2.38,17160,53440,1783,650,445
"Bellflower",7,33.4,38936,39498,24607,3.58,23336,12839,42472,10764,783
"Billings",7,36.3,52705,57565,3206,2.4,102522,2200,7526,1873,6066
"Conroe",7,31.5,34907,33685,13839,2.65,57480,6713,23863,2302,707
"El Monte",7,37.3,57961,58784,59655,3.67,64138,307,77523,33384,718
"Fontana",7,29.5,100644,106828,61448,4.15,85044,16986,156134,14281,2656
"Fort Wayne",7,34.7,124815,133329,19146,2.45,204114,46319,21234,13596,3577
"Hawthorne",7,33.7,43682,44762,32107,2.97,23665,21566,50115,7601,906
"Hayward",7,34.3,78152,80148,60970,3.32,74800,20219,64880,46285,2178
"Lake Charles",7,31.8,35678,40388,3215,2.36,36346,38358,3157,1444,592
"Lynn",7,34.8,44598,47861,29899,2.81,50652,18240,33250,9205,1176
"Newark",7,34.6,138040,143873,86253,2.73,76402,144961,100432,7349,2268
"Oceanside",7,39.4,87482,88232,37492,2.72,137533,11907,62100,20882,2452
"Pueblo",7,37.6,55635,53784,3578,2.44,86097,4107,57579,2468,7306
"Rockford",7,36.3,71076,78270,18323,2.52,107148,33122,28923,5500,2301
"Scottsdale",7,46.9,115712,121132,27207,2.17,205512,5279,24766,11555,7003
"Syracuse",7,30.3,69462,74690,17733,2.39,88679,46026,13368,9386,3606
"Tempe",7,28.8,91350,84476,26620,2.44,130346,11293,44404,17338,4636
"Topeka",7,37.1,60879,66378,6711,2.32,108035,15030,18640,3127,4804
"West Valley City",7,30.7,68235,67989,30712,3.81,89145,3222,44080,9550,4851
"Alexandria",6,36.6,74989,78522,44030,2.2,106215,37168,25573,13315,1133
"Bossier City",6,32.7,33428,34669,2980,2.4,47454,19520,5589,2175,630
"Bridgeport",6,34.1,71509,76110,44475,2.86,68007,53770,59036,8546,2527
"Charleston",6,35,63956,71568,5767,2.4,104016,29998,3929,2773,633
"Chico",6,29.9,46168,44168,8425,2.5,80467,3164,15578,6101,2766
"Downey",6,37.3,53006,61205,39977,3.45,77220,5498,84806,9776,535
"Flagstaff",6,23.9,33224,37093,4262,2.55,58696,3144,13606,2646,5117
"Fort Collins",6,29.6,80893,80288,9704,2.45,150568,3176,15521,7913,3271
"Gastonia",6,36.9,35527,39023,5715,2.67,46362,22179,6653,2788,603
"Greensboro",6,35.5,132251,153093,26667,2.36,144930,124108,22147,12683,3688
"Hemet",6,36.8,38622,45251,13330,2.97,67817,7650,37448,3697,2288
"Kent",6,33.4,61825,65137,38175,3.06,67918,20450,21928,26168,3651
"Laredo",6,28.8,124305,131484,68427,3.66,246442,832,243190,1963,1253
"Medford",6,38.6,39606,40189,6185,2.65,75464,1201,14294,2135,1239
"Nampa",6,31.4,45651,44199,6607,2.98,80776,1600,22066,1486,2167
"New Haven",6,29.9,63765,66545,25871,2.48,56251,43356,43563,7966,2205
"Pittsburgh",6,32.9,149690,154695,28187,2.13,208863,82248,9266,21227,2689
"San Angelo",6,32.8,49669,50744,7859,2.5,86655,6079,42494,1658,548
"Yakima",6,34,45147,48553,15717,2.74,79286,924,44172,2248,2042
"Abilene",5,31.3,65212,60664,8129,2.64,95487,14449,33222,2929,1813
"Akron",5,38.1,96886,100667,10024,2.24,129192,66551,3684,9033,1845
"Anchorage",5,32.2,152945,145750,33258,2.77,212696,23107,27261,36825,36339
"Antioch",5,34,54733,55809,24942,3.31,51151,23227,35563,14333,3462
"Beaverton",5,35.6,47325,49252,18933,2.46,80975,3100,15452,10538,905
"Berkeley",5,32.5,60142,60829,25000,2.35,82949,11255,15429,27089,1868
"Brownsville",5,30.6,87689,96199,53301,3.48,174670,1239,170041,1589,1165
"Cape Coral",5,45,85626,89604,24185,2.85,163396,7311,33016,3314,1040
